Año	Título	Corpus estilométrico
1960	Adorada mía	Sí
1960	Andrés y ellas	No
1960	Beatriz	Sí
1960	Desengaño y amor	Sí
1960	El amor llegó más tarde	Sí
1960	El destino de Kim	No
1960	El matrimonio de Miryam	No
1960	El padrino de mi hermano	Sí
1960	El pasado vuelve aquí	Sí
1960	El pintor	No
1960	El profesor de felicidad	Sí
1960	El secreto de Mildred	Sí
1960	Él y el otro	Sí
1960	Ella y sus recuerdos	Sí
1960	Esperanza	No
1960	Has de ser tú	Sí
1960	La doncella de mamá	Sí
1960	La historia de mi vida	Sí
1960	La vida empieza	No
1960	Lo inesperado	No
1960	Los ambiciosos	No
1960	Mi hija Nancy	No
1960	Milady y los hombres	No
1960	Milord y ella	No
1960	No eres tú	Sí
1960	Nube negra	No
1960	Paula	No
1960	Ramón	No
1960	Realidades	Sí
1960	Surgió el amor	Sí
1960	Te vi al amanecer	No
1960	Tú eres para mí	Sí
1960	Un amor en el camino	No
1960	Un consuelo para ti	Sí
1960	Un contrato original	Sí
1960	Un marido por apuesta	Sí
1960	Una chica valiente	Sí
1960	Una hora contigo	No
1961	Ana y el chófer	Sí
1961	Aquel descubrimiento…	Sí
1961	Arturo y mi hermana	Sí
1961	Carla	No
1961	El amigo de mi marido	Sí
1961	Él cambió mi vida	Sí
1961	El orgullo de Ann	No
1961	Ella y los tres	No
1961	En aquel momento	Sí
1961	En aquel valle…	Sí
1961	Eso no se olvida	No
1961	Espero un marido rico	Sí
1961	La casa de los solteros	No
1961	La cautiva	Sí
1961	La indecisión de Leila	Sí
1961	Las dudas de Celia	Sí
1961	Las noches de Audrey	Sí
1961	Los jueves de Leila	Sí
1961	Mag se ha enamorado	No
1961	Me casé con él	Sí
1961	Mis pretendientes	Sí
1961	No hay fronteras	No
1961	No quiero a esta mujer	No
1961	Nunca lo creí	No
1961	Ojos bonitos	Sí
1961	Prometida a la fuerza	Sí
1961	Raquel, no esperes	Sí
1961	Se busca esposa	No
1961	Ten cuidado, Irene	Sí
1961	Un marido para Berta	Sí
1961	Una mujer insignificante	No
1961	Una oscura promesa	Sí
1961	Yanire	No
1961	Yo no soy así	No
1962	¿Es éste mi marido?	Sí
1962	Aquel hombre y yo	Sí
1962	Aquel pasado	No
1962	Aquella extraña boda	Sí
1962	Aquella ilusión desvanecida	Sí
1962	Así aprendí a quererte	No
1962	Aventurera	Sí
1962	Cumplí mi condena	Sí
1962	Cumplimiento de palabra	Sí
1962	Déjame adorarte, Isabel	Sí
1962	El matrimonio de Grey	Sí
1962	El señor feudal	Sí
1962	Ella volverá	No
1962	Ellos se disfrazan	No
1962	Elvira no reflexiona	Sí
1962	Fuego en la nieve	Sí
1962	La boda de Maripol	No
1962	La secretaria de mi marido	No
1962	Lo supe aquel día	Sí
1962	Marta y ellos	Sí
1962	No creo en tu cariño	Sí
1962	No era espejismo	Sí
1962	No estás sola	Sí
1962	Noche de carnaval	No
1962	Querían casarse	No
1962	Querida Edith	No
1962	Se solicita enfermera	No
1962	Susana piensa	Sí
1962	Te casaste por ambición	Sí
1962	Te presento a mi marido	Sí
1962	Una prueba difícil	No
1962	Volveremos a encontrarnos	Sí
1962	Vuelve a mí	No
1963	¿Qué quieres de mí?	Sí
1963	Afortunada locura	No
1963	Aléjate de mí	Sí
1963	Algún día volveré	Sí
1963	Almas inquietas	Sí
1963	Amor fugaz	Sí
1963	Aventura inesperada	Sí
1963	Berta	Sí
1963	Cambio feliz	Sí
1963	Cree en mí	Sí
1963	Déjame decírtelo	Sí
